ea1 eb1 ec1 epa1 epb1 epc1
3.445028 2.083601 0.2857604 0.2169519 0.0234938 0.002377563
2.637217 1.94243 0.2670898 0.1387843 0.02274386 0.002830496
1.879373 2.30809 0.1948464 0.1195896 0.04111992 0.003271258
2.530349 2.223964 0.1835531 0.1478033 0.03006083 0.002410478
3.063928 1.615851 0.2269899 0.1232652 0.0156846 0.002885112
2.81623 1.735879 0.2032614 0.1413137 0.01690205 0.003153305
3.018315 1.760127 0.2514229 0.125467 0.01740477 0.002646925
2.354894 1.696076 0.1902644 0.1020616 0.01824961 0.003505643
1.935861 1.869917 0.2133971 0.08752582 0.02369718 0.00378711
2.246583 2.085415 0.2177093 0.1342969 0.02821271 0.003107361
3.343637 2.142963 0.182266 0.1717816 0.02305571 0.002018879
1.310029 1.655948 0.1426298 0.06300949 0.02641671 0.007993975
2.367599 2.124327 0.1618182 0.133099 0.02683572 0.002697853
3.885029 1.95821 0.227116 0.1841413 0.0176959 0.002162486
1.843795 2.298568 0.1202153 0.1048039 0.0368438 0.003087217
1.070364 2.285089 0.1348843 0.08431462 0.04716994 0.0100196
2.761855 2.222361 0.2034805 0.1611558 0.02932223 0.002285051
1.369221 1.462784 0.1713053 0.06387752 0.02710701 0.008784027
2.31019 2.137182 0.2444651 0.1523546 0.03090559 0.003069474
1.089443 0.7869809 0.05674349 0.03448206 0.03803145 0.01354417
2.869169 2.036631 0.3052625 0.1583235 0.02485823 0.002594224
3.538314 2.027322 0.1844987 0.1754845 0.01940818 0.002066982
3.475897 2.287194 0.1987312 0.203826 0.02962586 0.001971887
1.49994 2.118809 0.2645133 0.1203787 0.03860813 0.006671459
3.041017 2.20046 0.2159487 0.1999357 0.02851064 0.002266309
1.236802 1.371699 0.1527853 0.05513489 0.03044943 0.01011456
4.15365 1.525418 0.3226272 0.1816931 0.01469093 0.002733718
0.8840594 1.057379 0.01869147 0.01891307 0.02406653 0.004617513
3.164974 2.025768 0.1830039 0.154229 0.02074931 0.002158752
1.227757 2.512328 0.3402654 0.1738778 0.08733342 0.009707736
4.078595 1.970859 0.3186854 0.2299259 0.01907244 0.002353054
0.6149352 3.038304 0.08102481 0.05763985 0.09524109 0.01636105
2.793175 2.33837 0.1880342 0.193789 0.03753862 0.002157206
0.9034512 0.8684533 0.02434846 0.02036377 0.02520162 0.006158384
1.918332 1.74751 0.1503629 0.07308866 0.0203839 0.003677806
2.214784 2.126734 0.1675436 0.1184122 0.0277128 0.002836845
3.076603 2.05116 0.2725526 0.1832322 0.02300938 0.002519892
3.817292 2.613975 0.1722039 0.3072453 0.04779423 0.001771941
0.6596689 2.517466 0.06364468 0.0425742 0.06417859 0.01360205
2.40872 2.648708 0.1810864 0.2005323 0.0633339 0.002141216
0.7981264 2.217347 0.04063092 0.03558478 0.04580392 0.008647364
1.388492 1.930609 0.2236712 0.07973015 0.03182566 0.00654526
1.476856 1.898558 0.1689493 0.08080224 0.02786767 0.006193271
1.533796 2.782029 0.1500261 0.1269141 0.08091983 0.003484153
1.845476 1.892892 0.2408927 0.1079257 0.02588921 0.004736808
1.789852 2.531076 0.1281001 0.09467421 0.04444765 0.002521603
1.335466 3.477093 0.212037 0.2097218 0.2151003 0.004169716
4.12749 2.087984 0.2982808 0.210315 0.02037856 0.002214339
1.438671 1.439206 0.1146038 0.05030743 0.02036437 0.006173525
3.172462 1.830341 0.2713363 0.1380964 0.01773978 0.002516744
3.927566 1.696609 0.3192158 0.1592743 0.01535423 0.002459071
1.329044 2.474142 0.205745 0.08631313 0.05297675 0.004823984
1.78913 1.838525 0.2344009 0.0861961 0.02391218 0.004403769
1.38943 2.563023 0.2425748 0.1069817 0.06163857 0.004774759
2.033503 1.685175 0.2431504 0.08304113 0.02002674 0.003825717
2.780802 2.385432 0.1748539 0.1568859 0.03163656 0.002026143
3.313471 1.780587 0.1091569 0.1144271 0.01455215 0.00186917
1.722074 0.9124247 0.1937956 0.05799759 0.02179988 0.00788947
1.142311 -0.2643408 0.1549408 0.04505796 0.0885654 0.03508011
2.904079 1.670874 0.1857075 0.09944123 0.01532984 0.002484635
1.043641 0.9495766 0.1229242 0.04452601 0.04431135 0.01557834
2.876093 1.867201 0.2187631 0.1261823 0.01827467 0.002540716
2.893259 1.157866 0.2091876 0.08578739 0.01282149 0.003411465
2.196099 2.304282 0.1420919 0.1021485 0.03102129 0.0022426
2.259121 2.339994 0.08327843 0.1087555 0.03071427 0.00192522
1.618221 2.584433 0.1201061 0.09725412 0.05072806 0.003044143
